Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S160073417,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L28964928,"12926–12998 S Stony Island Ave, Chicago US-IL (41.6638,-87.5754)",41.663823,-87.575376,2024-01-28,09:36 AM,eBird - Stationary Count,18,1,,,1,,,,,10
S164222455,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L29746113,"20356–20426 Stony Island Ave, Lynwood US-IL Yellow headed Blackbird Alex H's find (41.5267,-87.5782)",41.526664,-87.578234,2024-03-09,10:19 AM,eBird - Stationary Count,122,1,,,1,F Flyover,,"Yellow headed blackbird stakeout, did not return from what I could tell using bins and scanning blackbird flocks that would visit and leave",,11
S164293825,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L29746113,"20356–20426 Stony Island Ave, Lynwood US-IL Yellow headed Blackbird Alex H's find (41.5267,-87.5782)",41.526664,-87.578234,2024-03-10,06:45 AM,eBird - Stationary Count,43,1,,,1,F Flyover,HO,"Yellow headed blackbird stakeout SUCCESS!!!!! LIFER! Cook Bird #254, Cook 2024 Year bird #113!",,12
S166205445,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L30128609,3.27.24 Ruff Location Walmart field,41.4837412,-87.7508006,2024-03-27,05:15 PM,eBird - Stationary Count,30,1,,,1,,,"What a chase. Got the notification at 3:10ish (thanks so much Jeff and Linda!), checked google maps and it said trip time was 1hr 45min due to traffic. Had the privilege of doing it anyway. So lucky the bird stayed. My 2nd ever ruff, the first being in Boone county. SENSATIONAL bird for my year!",,13
S161087547,Canada Goose,Branta canadensis,330,18,US-IL,Cook,L19222244,57-80 Warehouse Campus Retention Ponds,41.5808736,-87.7294563,2024-02-10,07:30 AM,eBird - Stationary Count,5,1,,,1,,,,,14
S163085627,Canada Goose,Branta canadensis,330,10,US-IL,Cook,L19222244,57-80 Warehouse Campus Retention Ponds,41.5808736,-87.7294563,2024-02-27,08:30 AM,eBird - Stationary Count,8,1,,,1,,,Quick stop,,15
S167387136,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L19222244,57-80 Warehouse Campus Retention Ponds,41.5808736,-87.7294563,2024-04-06,11:00 AM,eBird - Stationary Count,8,1,,,1,,,,,16
S171715577,Canada Goose,Branta canadensis,330,4,US-IL,Cook,L31219543,"7201 Archer Rd, Justice US-IL 41.76061, -87.82630",41.760612,-87.826302,2024-05-03,12:23 PM,eBird - Stationary Count,7,1,,,1,,,,,17
S181425556,Canada Goose,Branta canadensis,330,4,US-IL,Cook,L31287488,"747 Forest Ave, Evanston US-IL 42.03203, -87.67389",42.032032,-87.673887,2024-06-14,10:47 AM,eBird - Casual Observation,,0,,,1,F Flyover,,,,18
S158914647,Canada Goose,Branta canadensis,330,75,US-IL,Cook,L28579042,"8365 W Summerdale Ave, Chicago US-IL (41.9763,-87.8364)",41.976343,-87.836433,2024-01-14,03:15 PM,eBird - Stationary Count,3,1,,,1,F Flyover,Headed straight south. Probably due to the freezing temps we're finally experiencing. Counted by 2s.,,,19
S162804094,Canada Goose,Branta canadensis,330,8,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-02-24,04:40 PM,eBird - Traveling Count,35,1,.805,,1,F Flyover,,No redpoll &#x1f972;,,20
S165094130,Canada Goose,Branta canadensis,330,8,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-03-16,06:20 PM,eBird - Traveling Count,84,1,1.609,,2,,,"With Julia,  Met up with Erick and Kate",,21
S165351698,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-03-18,06:50 PM,eBird - Traveling Count,60,1,.966,,10,,,"Chicago Ornithological Society American Woodcock Outing. Temps in mid 30s, low winds, great activity!",,22
S166204002,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-03-27,06:53 PM,eBird - Traveling Count,62,1,1.287,,10,,,"Chicago Ornithological Society Woodcock outing! Cold temps almost below freezing, decently strong, intermittent winds. Folks braved the cold for looks and woodcock displays, snipes, and other cool prairie birds!",,23
S166572564,Canada Goose,Branta canadensis,330,3,US-IL,Cook,L152600,"Air Station Prairie, Glenview",42.1005788,-87.8189135,2024-03-30,07:05 PM,eBird - Stationary Count,60,1,,,3,,,High 30s,,24
S203917260,Canada Goose,Branta canadensis,330,45,US-IL,Cook,L38316540,All Saints Cemetery - East Side,42.0633491,-87.8880525,2024-11-28,11:38 AM,eBird - Stationary Count,128,1,,,1,F Flyover,,"9mph NW winds aiming approx 120 degrees SE through the region, low 30 temp, overcast. Sustained conditions following a slight cold dip on 11/26 with west winds that brought considerable SACRs, multiple WHCR, and 2 GOEAs to the county. Thanksgiving Day. Shifted to entrance of west side of cemetery when Scott joined following the GOEA alert.     One of the most epic days on my Cook County Big Year, after being worried that 16 days of nothing following the Brant was a sign that my luck ran out. Hard work pays off.",,25
S168842621,Canada Goose,Branta canadensis,330,8,US-IL,Cook,L4458400,Baker's Lake,42.1463508,-88.1231403,2024-04-15,06:30 PM,eBird - Traveling Count,125,1,3.219,,1,,,,,26
S172159074,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L152603,Bartel Grassland,41.5356,-87.7555,2024-05-04,05:28 AM,eBird - Traveling Count,63,1,1.689,,3,,,Walked trail from little pull off on central out into the middle.,,27
S191941531,Canada Goose,Branta canadensis,330,5,US-IL,Cook,L125052,"Beaubien Woods Forest Preserve, Chicago",41.6504689,-87.5891018,2024-08-18,11:06 AM,eBird - Traveling Count,37,1,3.39,,3,,,"74°F, cloudy, occasional drizzle, N winds 14 mph",,28
S161399643,Canada Goose,Branta canadensis,330,6,US-IL,Cook,L623766,"Bend of Little Calumet River, Chicago/Riverdale",41.662589,-87.62146,2024-02-11,09:44 AM,eBird - Traveling Count,30,1,.195,,19,,,,,29
S157773780,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L741253,Bergman Slough Forest Preserve,41.6725,-87.9016667,2024-01-01,03:26 PM,eBird - Stationary Count,11,1,,,2,,,,,30
S161105125,Canada Goose,Branta canadensis,330,33,US-IL,Cook,L741253,Bergman Slough Forest Preserve,41.6725,-87.9016667,2024-02-10,09:33 AM,eBird - Stationary Count,20,1,,,1,,,,,31
S162188590,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L852819,Brownell Woods Forest Preserve,41.5627865,-87.6094866,2024-02-19,07:40 AM,eBird - Stationary Count,23,1,,,2,F Flyover,,,,32
S201619582,Canada Goose,Branta canadensis,330,91,US-IL,Cook,L812840,Burnham  Park--31st St. Beach,41.8383626,-87.6058388,2024-11-06,07:30 AM,eBird - Stationary Count,120,1,,,4,,Point count of beach birds,"Stationary at harbor pier walkout. Lots of nearby loons today. Good company to get us through the morning. No cave swallow luck. JD joined later, TS and WG stuck around longer past list time.     Wind 10 mph from nw. Cloudy. Low 50s",,33
S203302492,Canada Goose,Branta canadensis,330,7,US-IL,Cook,L1861542,Burnham Harbor,41.8596974,-87.6113964,2024-11-22,02:36 PM,eBird - Stationary Count,60,1,,,3,,,Scoping from far south east end of harbor.,,34
S176242623,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L152612,Burnham Park--McCormick Nature Area,41.8497879,-87.6099421,2024-05-21,07:20 AM,eBird - Traveling Count,130,1,1.931,,28,,,,,35
S197368631,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L152612,Burnham Park--McCormick Nature Area,41.8497879,-87.6099421,2024-10-01,08:03 AM,eBird - Traveling Count,180,1,1.107,,10,,,"Monthly birdwalk led by Wendy Paulson. Although it took some diligence, we eventually cobbled together an 11 warbler species day, great diversity for early October. The other group added Black-throated Green (=12), and I’m almost certain I got a quick glimpse of an Ovenbird (13?).    For me, however, the “bird of the day"" was a bat! We noted one flying in from the lake at ~8:15-8:20 am (landing in a large cottonwood by the parking lot, as did another prior to the birdwalk at ~7:10 am), plus a very high-flying bat at 8:20 am (heading in over the city). We then had two more that flew in and landed in a nearby pair of tall cottonwoods (8:37 am), and finally we discovered two perched Silver-haired Bats in a large maple by the ramped observation platform, one of which gave us a stunning close-up. Presumably all 7 bats were Silver-haireds.    A mercurial weather day, it started auspiciously (partly sunny and comfortable), but then became windy and overcast, before the wind abated and it returned to sunny and partly cloudy conditions. Temps felt cooler thanks to the strong N wind (65°F actually dropping to 62°F before creeping back up to 64°F).",,36
S201491790,Canada Goose,Branta canadensis,330,8,US-IL,Cook,L152612,Burnham Park--McCormick Nature Area,41.8497879,-87.6099421,2024-11-05,07:33 AM,eBird - Traveling Count,134,1,2.06,,16,,,"Lakefront Bird Walk led by Wendy Paulson, co-sponsored by Openlands and the Field Museum.",,37
S193060045,Canada Goose,Branta canadensis,330,7,US-IL,Cook,L351831,Burnham Park--Promontory Point,41.7960139,-87.5765064,2024-08-28,07:08 AM,eBird - Traveling Count,123,1,.805,,4,F Flyover,,,,38
S176574891,Canada Goose,Branta canadensis,330,12,US-IL,Cook,L125053,Burnham Prairie Nature Preserve,41.6401425,-87.5521946,2024-05-10,06:20 AM,eBird - Traveling Count,115,1,1.287,,1,FL Recently Fledged Young,With goslings,,,39
S191781990,Canada Goose,Branta canadensis,330,3,US-IL,Cook,L125053,Burnham Prairie Nature Preserve,41.6401425,-87.5521946,2024-08-17,09:35 AM,eBird - Traveling Count,35,1,.644,,2,,,,,40
S194006143,Canada Goose,Branta canadensis,330,14,US-IL,Cook,L311824,Busse Woods (Ned Brown Forest Preserve),42.0309342,-88.0101013,2024-09-04,09:04 AM,eBird - Traveling Count,120,1,2.414,,1,,,Thanks Isoo for the tip!,,41
S167595611,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L2310306,Busse Woods--south,42.018342,-88.006808,2024-04-07,01:15 PM,eBird - Traveling Count,69,1,1.609,,1,,,"Raining, poor activity, in south lot",,42
S157778454,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L22825788,CVS Pond (143rd and Wolf Rd),41.628916,-87.893293,2024-01-01,03:50 PM,eBird - Traveling Count,15,1,.098,,2,,,,,43
S161399644,Canada Goose,Branta canadensis,330,9,US-IL,Cook,L2650830,Cal Sag Channel at Blue Island SEPA Station (RR trestles to I-57) (Blue Island),41.6522273,-87.6781619,2024-02-11,08:59 AM,eBird - Traveling Count,31,1,.204,,19,,,,,44
S157739755,Canada Goose,Branta canadensis,330,200,US-IL,Cook,L357712,"Calumet Park, Chicago",41.7171656,-87.5294065,2024-01-01,11:45 AM,eBird - Traveling Count,45,1,1.609,,2,,,,,45
S159932363,Canada Goose,Branta canadensis,330,1,US-IL,Cook,L357712,"Calumet Park, Chicago",41.7171656,-87.5294065,2024-01-27,11:50 AM,eBird - Stationary Count,30,1,,,2,,,,,46
S160560909,Canada Goose,Branta canadensis,330,32,US-IL,Cook,L357712,"Calumet Park, Chicago",41.7171656,-87.5294065,2024-02-03,12:20 PM,eBird - Stationary Count,10,1,,,2,,,l,,47
S162776790,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L357712,"Calumet Park, Chicago",41.7171656,-87.5294065,2024-02-24,01:08 PM,eBird - Traveling Count,19,1,.805,,1,,,,,48
S182839816,Canada Goose,Branta canadensis,330,16,US-IL,Cook,L357712,"Calumet Park, Chicago",41.7171656,-87.5294065,2024-06-21,07:19 AM,eBird - Traveling Count,20,1,.805,,1,,,,,49
S185426250,Canada Goose,Branta canadensis,330,40,US-IL,Cook,L357712,"Calumet Park, Chicago",41.7171656,-87.5294065,2024-07-05,07:21 AM,eBird - Traveling Count,30,1,.966,,1,,,,,50
S199533216,Canada Goose,Branta canadensis,330,130,US-IL,Cook,L357712,"Calumet Park, Chicago",41.7171656,-87.5294065,2024-10-19,05:17 PM,eBird - Traveling Count,33,1,1.448,,3,,,,,51
S190204817,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L447274,"Calumet Water Reclamation Plant, Chicago (RESTRICTED)",41.6697703,-87.6080704,2024-08-04,06:53 AM,eBird - Traveling Count,177,1,4.828,,4,,,,,52
S192761949,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L447274,"Calumet Water Reclamation Plant, Chicago (RESTRICTED)",41.6697703,-87.6080704,2024-08-25,06:43 AM,eBird - Traveling Count,169,1,7.268,,19,,,"70°F warming to 79°F, sunny, S winds 8 mph. ENSBC field trip.",,53
S158378254,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L587035,"Calvary Cemetery, Evanston",42.0246861,-87.6727867,2024-01-07,01:17 PM,eBird - Stationary Count,18,1,,,2,,"Stopped counting after 125, foraging",FOY snow goose for Dan and me. Continuing bird reported by many nice birders,,54
S199637831,Canada Goose,Branta canadensis,330,29,US-IL,Cook,L587035,"Calvary Cemetery, Evanston",42.0246861,-87.6727867,2024-10-20,10:55 AM,eBird - Traveling Count,67,1,1.931,,1,,,,,55
S168477027,Canada Goose,Branta canadensis,330,12,US-IL,Cook,L207016,"Chicago Botanic Garden, Glencoe",42.1470902,-87.7895394,2024-04-13,04:38 PM,eBird - Traveling Count,99,1,3.219,,3,,,With julia,,56
S175194703,Canada Goose,Branta canadensis,330,12,US-IL,Cook,L207016,"Chicago Botanic Garden, Glencoe",42.1470902,-87.7895394,2024-05-17,06:40 PM,eBird - Stationary Count,20,1,,,1,,,Stationary south lagoon,,57
S175318779,Canada Goose,Branta canadensis,330,12,US-IL,Cook,L207016,"Chicago Botanic Garden, Glencoe",42.1470902,-87.7895394,2024-05-18,09:30 AM,eBird - Stationary Count,6,1,,,1,,,,,58
S200708546,Canada Goose,Branta canadensis,330,43,US-IL,Cook,L207016,"Chicago Botanic Garden, Glencoe",42.1470902,-87.7895394,2024-10-29,10:59 AM,eBird - Stationary Count,12,1,,,1,,,Was working at Big Marsh office and got the notification from Jeff and others. Thank you all for the notification. Funnily enough I was texting Demond and Phil this morning that CAEG should be on our radar. Currently strong S winds and unseasonably warm. 5 more birds to break the Cook County Big Year record.,,59
S202044558,Canada Goose,Branta canadensis,330,44,US-IL,Cook,L207016,"Chicago Botanic Garden, Glencoe",42.1470902,-87.7895394,2024-11-10,10:01 AM,eBird - Traveling Count,77,1,4.891,,2,,,,,60
S202202457,Canada Goose,Branta canadensis,330,210,US-IL,Cook,L207016,"Chicago Botanic Garden, Glencoe",42.1470902,-87.7895394,2024-11-11,10:30 AM,eBird - Stationary Count,275,1,,,2,F Flyover,,"Hawkwatch with 15mph NW winds, missed the AGOS from the fort and GOEA from ibsp. Sat near prairie most birds to me far west. Joined later in day by Demond",,61
S159602034,Canada Goose,Branta canadensis,330,82,US-IL,Cook,L1057281,Chicago River--Diversey Turning Basin,41.931337,-87.6815844,2024-01-21,10:40 AM,eBird - Traveling Count,37,1,.547,,14,,,,,62
S159602035,Canada Goose,Branta canadensis,330,23,US-IL,Cook,L1138020,Chicago River--North Ave. Turning Basin,41.910198,-87.6579809,2024-01-21,09:56 AM,eBird - Traveling Count,30,1,.37,,14,,,,,63
S160674406,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L4998238,Deer Grove Forest Preserve--East,42.1449911,-88.0481937,2024-02-04,04:20 PM,eBird - Traveling Count,65,1,2.414,,2,,,,,64
S166636137,Canada Goose,Branta canadensis,330,9,US-IL,Cook,L4998238,Deer Grove Forest Preserve--East,42.1449911,-88.0481937,2024-03-31,08:45 AM,eBird - Stationary Count,43,1,,,1,,,,,65
S194801093,Canada Goose,Branta canadensis,330,8,US-IL,Cook,L108460,"Douglass (Anna & Frederick) Park, Chicago",41.8633213,-87.6991556,2024-09-11,11:27 AM,eBird - Traveling Count,49,1,.977,,2,,,,,66
S188083330,Canada Goose,Branta canadensis,330,6,US-IL,Cook,L130994,Eggers Grove Forest Preserve (Chicago),41.6878052,-87.5272446,2024-07-21,09:15 AM,eBird - Traveling Count,70,1,1.448,,1,,,Mostly stationary at marsh assessing water levels. Looking promising for shorebirds.,,67
S195254843,Canada Goose,Branta canadensis,330,18,US-IL,Cook,L130994,Eggers Grove Forest Preserve (Chicago),41.6878052,-87.5272446,2024-09-15,11:25 AM,eBird - Traveling Count,90,1,2.887,,4,,,,,68
S195969952,Canada Goose,Branta canadensis,330,15,US-IL,Cook,L130994,Eggers Grove Forest Preserve (Chicago),41.6878052,-87.5272446,2024-09-21,01:14 PM,eBird - Traveling Count,48,1,1.931,,1,,,,,69
S171272289,Canada Goose,Branta canadensis,330,8,US-IL,Cook,L31139718,"Fluddle south of Treetop Park, 15532–15622 S Ravinia Ave, Orland Park US-IL (41.6076,-87.8584)",41.60759,-87.858402,2024-05-01,05:47 AM,eBird - Stationary Count,15,1,,,1,,,,,70
S196794831,Canada Goose,Branta canadensis,330,16,US-IL,Cook,L2942201,"Gillson Park (Willmette, Cook Co.)",42.0791724,-87.6854246,2024-09-28,07:11 AM,eBird - Traveling Count,454,1,3.334,,3,,,Pretty disappointing lake watch over all but some decent diversity of birds moving on the lake.,,71
S162855220,Canada Goose,Branta canadensis,330,2,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-02-25,07:05 AM,eBird - Traveling Count,50,1,.483,,1,,,Looked for harlequin. Stopped by 7 other spots north and south of gilson after this list but few if any birds in lake at all points.,,72
S196265940,Canada Goose,Branta canadensis,330,19,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-09-23,06:28 AM,eBird - Stationary Count,220,1,,,2,,,Mostly with Josh Engel and so great to meet him. Andy and Al arrived later in morning. Bummed about my jaeger fail and not getting on the grebe earlier. Strong N winds with a decent E component.,,73
S197492421,Canada Goose,Branta canadensis,330,15,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-10-04,06:33 AM,eBird - Stationary Count,300,1,,,2,,,"Good dabbler day, some diving other other waterbird arrivals. Slow start but picked up mid morning. Dead by 11am.",,74
S198535862,Canada Goose,Branta canadensis,330,53,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-10-12,07:15 AM,eBird - Stationary Count,304,1,,,11,,,"Fun day for dabblers! Got Tarik his year bird Surf Scoter, and unexpectedly set the county high count for pintail! Cold front came through last night, and although it only dropped temps into the low 60s, it brought strong NE winds behind it that enabled the duck flight that we got. Winds were 17mph out of the NE from sunrise until they died down at about 10:30. The group consisted of Matthew Cvetas, Isoo O’Brien, Tarik Shahzad, Peter and Andrea Tolzmann, Josh Engel, Mark Ryan, Demond McDonald, and myself. Most of the group had left by 10AM, and around 11AM we were joined by Noah Whiteman for an hour or so. Hopefully the first of many record-breaking days this season.",,75
S199011720,Canada Goose,Branta canadensis,330,1,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-10-15,07:20 AM,eBird - Stationary Count,238,1,,,1,,Nb,"Lakewatch. Brutal 48 degrees, 20mph winds mostly from N with varying slight E component, wish it was stronger. Targets not attained.",,76
S201901081,Canada Goose,Branta canadensis,330,24,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-11-09,06:25 AM,eBird - Stationary Count,210,1,,,3,,,Lakewatch SE winds,,77
S202155404,Canada Goose,Branta canadensis,330,1,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-11-11,07:03 AM,eBird - Stationary Count,141,1,,,1,,,,,78
S202368744,Canada Goose,Branta canadensis,330,17,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-11-13,06:27 AM,eBird - Stationary Count,193,1,,,3,,,"44 degrees. SSE winds, more S component. LW in hopes of BLKI. TS DM WG.",,79
S202503002,Canada Goose,Branta canadensis,330,22,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-11-14,06:45 AM,eBird - Stationary Count,130,1,,,2,,,"Lakewatch. Dominated by RBMergs moving south in small lines, plus a few other late fall waterbirds.    Low pressure draping over the region overnight, with SE winds. Rain cleared early, with winds shifting NNW around 0745. Low clouds and overcast conditions persistent throughout with the low and occluded front tracking slowly NE and staying in the region. Low 50s",,80
S192969265,Canada Goose,Branta canadensis,330,12,US-IL,Cook,L152687,"Grant Park, Chicago--Museum Campus",41.8664,-87.6154,2024-08-27,09:25 AM,eBird - Stationary Count,85,1,,,1,F Flyover,,"Unbelievable chase. Extremely hot and humid, full sun, was 77 degrees without humidity consideration at dawn, 82 degrees when refound the MIKI. Least bittern was a fun find too.",,81
S165149943,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L90360,Helmick Nature Preserve / Butterfield Creek Wetlands,41.4993211,-87.7601624,2024-03-17,08:05 AM,eBird - Traveling Count,76,1,.805,,1,F Flyover,,2nd dip on pheasant. Most time spent stationary looking out into field for pheasant. Didnt check water bodies,,82
S189053916,Canada Goose,Branta canadensis,330,1,US-IL,Cook,L90360,Helmick Nature Preserve / Butterfield Creek Wetlands,41.4993211,-87.7601624,2024-07-27,07:19 AM,eBird - Traveling Count,64,1,2.372,,2,,,,,83
S190045327,Canada Goose,Branta canadensis,330,12,US-IL,Cook,L90360,Helmick Nature Preserve / Butterfield Creek Wetlands,41.4993211,-87.7601624,2024-08-03,09:00 AM,eBird - Stationary Count,50,1,,,2,,,"Sunny, 81F. Raced to chase the little blue after posting up at montrose in the early morning. A great way to start the first weekend in August.",,84
S158415019,Canada Goose,Branta canadensis,330,7,US-IL,Cook,L3802826,Horizon Farm Forest Preserve,42.1296113,-88.1883287,2024-01-07,03:45 PM,eBird - Traveling Count,42,1,1.609,,1,F Flyover,,"Third attempt at a northern shrike and third time was the charm! Just like for the western grebe. 2 Attempts elsewhere and 3rd, successful attempt at a different location.",,85
S166528167,Canada Goose,Branta canadensis,330,4,US-IL,Cook,L97587,"Horner Park, Chicago",41.9575945,-87.6961161,2024-03-30,01:15 PM,eBird - Traveling Count,50,1,.805,,2,,,"High 40s, overcast",,86
S199516993,Canada Goose,Branta canadensis,330,160,US-IL,Cook,L265942,"Jackson Park, Chicago",41.781201,-87.5813341,2024-10-19,03:02 PM,eBird - Traveling Count,51,1,1.931,,3,,Exact,,,87
S164229707,Canada Goose,Branta canadensis,330,4,US-IL,Cook,L7068302,Joes Pond,41.7025455,-87.8755393,2024-03-09,01:18 PM,eBird - Stationary Count,7,1,,,1,,,,,88
S159904508,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L224192,Killdeer (Tinley Creek) Wetlands,41.5439,-87.7545,2024-01-27,07:45 AM,eBird - Stationary Count,58,1,,,1,,,"No shortie, very foggy",,89
S160492705,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L224192,Killdeer (Tinley Creek) Wetlands,41.5439,-87.7545,2024-02-03,07:30 AM,eBird - Stationary Count,60,1,,,1,,,,,90
S161087742,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L224192,Killdeer (Tinley Creek) Wetlands,41.5439,-87.7545,2024-02-10,07:10 AM,eBird - Stationary Count,22,1,,,1,F Flyover,,,,91
S161371308,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L224192,Killdeer (Tinley Creek) Wetlands,41.5439,-87.7545,2024-02-11,03:35 PM,eBird - Stationary Count,105,1,,,3,F Flyover,,"With Demond, Ken, and Chris. 5th times the charm!",,92
